Category,License,Dependency,Notes
BSD,Two-clause BSD-style license (http://github.com/sbt/junit-interface/blob/master/LICENSE.txt),com.novocode # junit-interface # 0.11,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.2,
CDDL,Common Development and Distribution License (CDDL) v1.0 (https://glassfish.dev.java.net/public/CDDLv1.0.html),javax.activation # activation # 1.1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # elastic4play_2.12 # 1.7.1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivebackend_2.12 # 3.2.1-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivecortex_2.12 # 3.2.1-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivemetrics_2.12 # 3.2.1-1,
GPL,AGPL-V3 (https://www.gnu.org/licenses/agpl-3.0.html),org.thehive-project # thehivemisp_2.12 # 3.2.1-1,
GPL,CDDL/GPLv2+CE (https://glassfish.java.net/public/CDDL+GPL_1_1.html),com.sun.mail # javax.mail # 1.5.3,
GPL,GPL2 w/ CPE (https://oss.oracle.com/licenses/CDDL+GPL-1.1),javax.xml.bind # jaxb-api # 2.3.0,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-classic # 1.2.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html),ch.qos.logback # logback-core # 1.2.3,
LGPL,GNU Lesser General Public License version 2.1 (LGPLv2.1) (http://www.gnu.org/licenses/lgpl-2.1.html),com.unboundid # unboundid-ldapsdk # 3.2.0,
LGPL,"GNU Library General Public License (LGPL), Version 2.0 (https://www.gnu.org/licenses/lgpl-2.0.html)",org.acplt.remotetea # remotetea-oncrpc # 1.1.2,
LGPL,"LGPL, version 2.1 (http://www.gnu.org/licenses/licenses.html)",net.java.dev.jna # jna # 4.1.0,
LGPL,"LGPL, version 2.1 (http://www.gnu.org/licenses/licenses.html)",net.java.dev.jna # jna-platform # 4.1.0,
LGPL,Lesser General Public License (LGPL) (http://www.gnu.org/copyleft/lesser.txt),com.vividsolutions # jts # 1.13,
MIT,MIT (https://opensource.org/licenses/MIT),com.sksamuel.exts # exts_2.12 # 1.44.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-core_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-free_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-jvm_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-kernel-laws_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-kernel_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-laws_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats-macros_2.12 # 0.9.0,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # cats_2.12 # 0.9.0,
MIT,MIT (http://www.opensource.org/licenses/mit-license.php),org.typelevel # discipline_2.12 # 0.7.2,
MIT,MIT (http://opensource.org/licenses/MIT),org.typelevel # machinist_2.12 # 0.6.1,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jcl-over-slf4j # 1.7.25,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # jul-to-slf4j # 1.7.25,
MIT,MIT License (http://www.opensource.org/licenses/mit-license.php),org.slf4j # slf4j-api # 1.7.25,
MIT,MIT license (http://www.opensource.org/licenses/mit-license.php),org.codehaus.mojo # animal-sniffer-annotations # 1.14,
MIT,The MIT License (http://www.opensource.org/licenses/mit-license.php),info.ganglia.gmetric4j # gmetric4j # 1.0.10,
MIT,The MIT License (http://www.opensource.org/licenses/mit-license.php),net.sf.jopt-simple # jopt-simple # 5.0.2,
MIT,The MIT License (http://opensource.org/licenses/MIT),org.checkerframework # checker-compat-qual # 2.0.0,
Mozilla,MPL 1.1 (http://www.mozilla.org/MPL/MPL-1.1.html),org.javassist # javassist # 3.21.0-GA,
